Gene	HCC1143	COLO829	HCC1937	HCC1395	NCI-H1770
A1BG	1.0	unstable_segmentation	2.0	unstable_segmentation	unstable_segmentation
A1CF	1.0	unstable_segmentation	-1.0	0.0	-1.0
A2M	0.0	0.0	1.0	unstable_segmentation	0.0
A2ML1	0.0	0.0	1.0	unstable_segmentation	0.0
A3GALT2	0.0	unstable_segmentation	-1.0	0.0	1.0
A4GALT	2.0	1.0	unstable_segmentation	1.0	-1.0
A4GNT	1.0	1.0	unstable_segmentation	1.0	-1.0
AAAS	0.0	0.0	-1.0	-1.0	-1.0
AACS	0.0	0.0	-1.0	-1.0	-1.0
AADAC	1.0	1.0	1.0	unstable_segmentation	-1.0
AADACL2	1.0	1.0	1.0	unstable_segmentation	-1.0
AADACL3	0.0	0.0	-1.0	unstable_segmentation	1.0
AADACL4	0.0	0.0	unstable_segmentation	unstable_segmentation	1.0
AADAT	-1.0	1.0	0.0	unstable_segmentation	-1.0
AAGAB	1.0	-1.0	-1.0	0.0	0.0
AAK1	-1.0	0.0	0.0	-1.0	0.0
AAMDC	1.0	0.0	0.0	-1.0	0.0
AAMP	-1.0	0.0	-1.0	-1.0	-1.0
AANAT	2.0	0.0	unstable_segmentation	1.0	0.0
AAR2	2.0	1.0	1.0	0.0	0.0
AARD	2.0	unstable_segmentation	unstable_segmentation	unstable_segmentation	-1.0
AARS2	1.0	0.0	1.0	unstable_segmentation	-1.0
AARSD1	-1.0	0.0	unstable_segmentation	-1.0	0.0
AASDHPPT	-1.0	0.0	0.0	unstable_segmentation	0.0
AASS	0.0	1.0	-1.0	1.0	1.0
AATK	2.0	0.0	unstable_segmentation	unstable_segmentation	0.0
ABAT	1.0	0.0	0.0	0.0	unstable_segmentation
ABCA1	0.0	1.0	1.0	1.0	0.0
ABCA10	2.0	0.0	1.0	unstable_segmentation	0.0
ABCA12	-1.0	0.0	-1.0	-1.0	-1.0
ABCA13	2.0	1.0	unstable_segmentation	0.0	1.0
ABCA2	0.0	1.0	1.0	1.0	0.0
ABCA3	1.0	0.0	0.0	0.0	unstable_segmentation
ABCA4	0.0	-1.0	1.0	unstable_segmentation	1.0
ABCA5	2.0	0.0	1.0	unstable_segmentation	0.0
ABCA6	2.0	0.0	1.0	unstable_segmentation	0.0
ABCA8	2.0	0.0	1.0	1.0	0.0
ABCA9	2.0	0.0	1.0	1.0	0.0
ABCB1	-1.0	1.0	-1.0	1.0	1.0
ABCB10	1.0	1.0	1.0	0.0	1.0
ABCB11	-1.0	0.0	0.0	0.0	0.0
ABCB4	-1.0	1.0	-1.0	1.0	1.0
ABCB5	0.0	1.0	1.0	unstable_segmentation	1.0
ABCB6	-1.0	0.0	-1.0	-1.0	-1.0
ABCB7	1.0	unstable_segmentation	unstable_segmentation	-1.0	unstable_segmentation
ABCB8	-1.0	1.0	unstable_segmentation	unstable_segmentation	1.0
ABCB9	0.0	0.0	-1.0	-1.0	-1.0
ABCC1	1.0	0.0	0.0	unstable_segmentation	unstable_segmentation
ABCC10	1.0	0.0	1.0	unstable_segmentation	-1.0
ABCC11	0.0	-1.0	2.0	unstable_segmentation	0.0
ABCC12	0.0	-1.0	2.0	unstable_segmentation	0.0
ABCC2	0.0	-1.0	-1.0	-1.0	-1.0
ABCC4	-1.0	0.0	2.0	-1.0	0.0
ABCC5	1.0	1.0	1.0	0.0	-1.0
ABCC6	1.0	0.0	0.0	unstable_segmentation	unstable_segmentation
ABCC8	0.0	0.0	-1.0	-1.0	0.0
ABCC9	0.0	0.0	1.0	1.0	0.0
ABCD1	0.0	unstable_segmentation	unstable_segmentation	unstable_segmentation	-1.0
ABCD2	0.0	0.0	0.0	unstable_segmentation	unstable_segmentation
ABCD4	1.0	0.0	0.0	-1.0	-1.0
ABCE1	-1.0	1.0	0.0	unstable_segmentation	-1.0
ABCF1	1.0	unstable_segmentation	unstable_segmentation	unstable_segmentation	-1.0
ABCF3	1.0	1.0	unstable_segmentation	0.0	-1.0
ABCG2	-1.0	1.0	0.0	unstable_segmentation	-1.0
ABCG4	-1.0	0.0	1.0	unstable_segmentation	unstable_segmentation
ABCG5	0.0	0.0	0.0	unstable_segmentation	0.0
ABCG8	0.0	0.0	0.0	unstable_segmentation	0.0
ABHD1	-1.0	0.0	0.0	-1.0	0.0
ABHD10	1.0	1.0	0.0	-1.0	-1.0
ABHD11	-1.0	1.0	unstable_segmentation	unstable_segmentation	1.0
ABHD12	2.0	unstable_segmentation	0.0	-1.0	0.0
ABHD12B	1.0	0.0	0.0	unstable_segmentation	-1.0
ABHD13	1.0	0.0	1.0	-1.0	0.0
ABHD14A	-1.0	1.0	0.0	0.0	-1.0
ABHD14A-ACY1	-1.0	1.0	0.0	0.0	-1.0
ABHD14B	-1.0	1.0	0.0	0.0	-1.0
ABHD17B	0.0	1.0	unstable_segmentation	0.0	0.0
ABHD17C	1.0	-1.0	-1.0	unstable_segmentation	0.0
ABHD2	1.0	1.0	-1.0	unstable_segmentation	0.0
ABHD4	1.0	0.0	1.0	1.0	0.0
ABHD5	-1.0	1.0	-1.0	0.0	-1.0
ABHD6	-1.0	1.0	-1.0	unstable_segmentation	-1.0
ABHD8	1.0	0.0	1.0	-1.0	0.0
ABI1	2.0	0.0	1.0	-1.0	-1.0
ABI2	-1.0	0.0	0.0	-1.0	-1.0
ABI3BP	1.0	1.0	0.0	-1.0	-1.0
ABL1	0.0	-1.0	1.0	unstable_segmentation	0.0
ABL2	1.0	1.0	0.0	1.0	1.0
ABLIM1	0.0	-1.0	-1.0	-1.0	-1.0
ABLIM2	0.0	-1.0	unstable_segmentation	unstable_segmentation	-1.0
ABLIM3	1.0	-1.0	1.0	0.0	-1.0
ABO	0.0	1.0	1.0	1.0	0.0
ABR	1.0	0.0	unstable_segmentation	1.0	-1.0
ABRA	2.0	unstable_segmentation	unstable_segmentation	unstable_segmentation	-1.0
ABRACL	1.0	0.0	0.0	0.0	-1.0
ABT1	-1.0	1.0	0.0	unstable_segmentation	-1.0
ABTB1	1.0	1.0	unstable_segmentation	unstable_segmentation	-1.0
ABTB2	0.0	0.0	-1.0	-1.0	0.0
AC004158.1	0.0	-1.0	1.0	unstable_segmentation	0.0
AC004853.1	0.0	2.0	unstable_segmentation	unstable_segmentation	1.0
AC005042.1	-1.0	0.0	0.0	-1.0	-1.0
AC005477.1	1.0	0.0	0.0	-1.0	-1.0
AC005480.1	1.0	0.0	0.0	-1.0	-1.0
AC006449.1	-2.0	0.0	unstable_segmentation	-1.0	0.0
AC006449.2	-2.0	0.0	unstable_segmentation	-1.0	0.0
AC007326.1	2.0	1.0	0.0	-1.0	-1.0
AC007906.1	0.0	-1.0	2.0	unstable_segmentation	0.0
AC008074.1	-1.0	0.0	0.0	-1.0	0.0
AC008622.1	1.0	0.0	1.0	-1.0	0.0
AC008641.1	1.0	-1.0	1.0	0.0	-1.0
AC008686.1	0.0	0.0	unstable_segmentation	1.0	0.0
AC008759.1	0.0	unstable_segmentation	1.0	-1.0	0.0
AC008810.1	1.0	-1.0	1.0	0.0	-1.0
AC008914.1	1.0	-1.0	-1.0	unstable_segmentation	-1.0
AC009022.1	0.0	-1.0	1.0	2.0	0.0
AC009060.2	0.0	unstable_segmentation	1.0	2.0	0.0
AC009065.4	1.0	0.0	0.0	0.0	unstable_segmentation
AC009950.1	-1.0	0.0	-1.0	unstable_segmentation	-1.0
AC010184.1	1.0	1.0	unstable_segmentation	unstable_segmentation	-1.0
AC010287.1	0.0	-1.0	1.0	2.0	0.0
AC010655.1	-1.0	2.0	-1.0	1.0	1.0
AC011155.1	0.0	0.0	-1.0	1.0	0.0
AC011476.1	1.0	0.0	unstable_segmentation	unstable_segmentation	0.0
AC011476.2	1.0	0.0	2.0	unstable_segmentation	0.0
AC011476.3	1.0	0.0	2.0	unstable_segmentation	0.0
AC011476.5	1.0	0.0	unstable_segmentation	unstable_segmentation	0.0
AC012314.9	1.0	0.0	2.0	1.0	0.0
AC012363.2	-1.0	0.0	0.0	-1.0	unstable_segmentation
AC013286.1	0.0	-1.0	-1.0	-1.0	-1.0
AC016549.1	2.0	-1.0	2.0	1.0	-1.0
AC016753.2	-1.0	0.0	0.0	1.0	0.0
AC017081.1	-1.0	0.0	0.0	-1.0	-1.0
AC018512.1	1.0	-1.0	-1.0	-1.0	unstable_segmentation
AC019206.1	-1.0	0.0	0.0	-1.0	0.0
AC022210.1	-1.0	0.0	0.0	unstable_segmentation	0.0
AC022405.1	1.0	-1.0	-1.0	-1.0	1.0
AC024361.1	2.0	0.0	unstable_segmentation	unstable_segmentation	0.0
